number,value,datetime_start,datetime_complete,duration,params_conf,params_match_thresh,params_min-box-area,params_nms,params_track_buffer,params_track_thresh,state
47,0.5143981398676445,2025-01-27 14:40:28.658979,2025-01-27 14:42:48.687749,0 days 00:02:20.028770,0.8150152032821311,0.4609636019035297,100,0.47169666248083697,60,0.7644866644313956,COMPLETE
48,0.5143981398676445,2025-01-27 14:42:48.688474,2025-01-27 14:45:10.133611,0 days 00:02:21.445137,0.18692054543675185,0.4057030487920542,10,0.23192104765925703,30,0.2950837951825238,COMPLETE
49,0.5143981398676445,2025-01-27 14:45:10.134360,2025-01-27 14:47:31.013687,0 days 00:02:20.879327,0.3709791290627622,0.7569172855192738,100,0.33817747978575563,300,0.13946440812364497,COMPLETE
50,0.5143981398676445,2025-01-27 14:47:31.014387,2025-01-27 14:49:51.773259,0 days 00:02:20.758872,0.11810032546596108,0.6828627980983764,100,0.6751342227467927,120,0.5513366924734198,COMPLETE
51,0.5143981398676445,2025-01-27 14:49:51.773981,2025-01-27 14:52:13.768306,0 days 00:02:21.994325,0.5527904954150328,0.29422611918929314,10,0.14333387684131593,600,0.34090648657468825,COMPLETE
52,0.5143981398676445,2025-01-27 14:52:13.769019,2025-01-27 14:54:34.375038,0 days 00:02:20.606019,0.6758088442879714,0.4946137846059183,10,0.17948608795122353,600,0.21846728861077552,COMPLETE
53,0.5143981398676445,2025-01-27 14:54:34.375753,2025-01-27 14:56:55.152233,0 days 00:02:20.776480,0.7479856936425181,0.3384439618433306,10,0.11793788541397629,600,0.25620729164386913,COMPLETE
54,0.5143981398676445,2025-01-27 14:56:55.152940,2025-01-27 14:59:15.832985,0 days 00:02:20.680045,0.6219540041647225,0.5737184516395243,10,0.22265908366320109,600,0.42252015380850255,COMPLETE
55,0.5143981398676445,2025-01-27 14:59:15.833693,2025-01-27 15:01:39.298155,0 days 00:02:23.464462,0.5689545154305664,0.2175549757577231,100,0.28306330768497656,600,0.30731031472935333,COMPLETE
56,0.5143981398676445,2025-01-27 15:01:39.298898,2025-01-27 15:04:01.314763,0 days 00:02:22.015865,0.4506757640611314,0.37363584588605503,150,0.24783669670913783,300,0.36813196022393835,COMPLETE
